Population,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"World","172167","Notavailable","19.3","17.2","0.99",
"China","42275","Notavailable","19.5","18.3","1.12",
"United States of America","19279","Notavailable","34.2","28.6","1.49",
"Japan","14510","Notavailable","52.2","33.6","1.91",
"Russian Federation","8398","Notavailable","28.9","24.3","1.20",
"Germany","7597","Notavailable","42.3","32.5","1.70",
"Italy","5082","Notavailable","39.0","28.4","1.57",
"France","4813","Notavailable","39.5","30.6","1.61",
"Brazil","4983","Notavailable","18.7","17.0","0.98",
"United Kingdom","4288","Notavailable","35.4","27.4","1.50",
"India","4521","Notavailable","3.6","3.6","0.17",
"Spain","2707","Notavailable","29.6","23.1","1.23",
"Korea, Republic of","2874","Notavailable","29.8","25.8","1.40",
"Ukraine","2646","Notavailable","28.1","24.0","1.09",
"Poland","2305","Notavailable","31.1","24.8","1.28",
"Turkey","2359","Notavailable","24.3","22.0","1.21",
"Mexico","2087","Notavailable","16.6","16.0","0.82",
"Argentina","1977","Notavailable","34.1","27.5","1.48",
"Canada","2014","Notavailable","29.5","25.3","1.25",
"Indonesia","1579","Notavailable","6.1","6.4","0.35",
"Australia","1374","Notavailable","34.3","27.5","1.54",
"The Netherlands","1201","Notavailable","36.4","28.9","1.56",
"Philippines","1224","Notavailable","13.7","13.6","0.79",
"Romania","1245","Notavailable","32.0","25.3","1.25",
"Colombia","1038","Notavailable","17.3","16.9","0.97",
"Hungary","1015","Notavailable","50.4","39.3","1.95",
"Belgium","892","Notavailable","41.7","34.8","1.65",
"Egypt","908","Notavailable","11.4","11.2","0.52",
"Czechia","859","Notavailable","41.7","32.2","1.64",
"Greece","735","Notavailable","32.7","23.5","1.34",
"South Africa","827","Notavailable","15.4","14.7","0.85",
"Nigeria","925","Notavailable","9.6","10.6","0.59",
"Austria","781","Notavailable","44.2","34.9","1.83",
"Sweden","749","Notavailable","41.6","30.4","1.69",
"Iran, Islamic Republic of","745","Notavailable","10.2","10.7","0.62",
"Thailand","764","Notavailable","6.5","6.5","0.25",
"Chile","665","Notavailable","25.0","21.9","1.21",
"Peru","617","Notavailable","18.7","17.6","0.95",
"Switzerland","577","Notavailable","35.7","28.5","1.52",
"Venezuela, Bolivarian Republic of","593","Notavailable","17.7","17.4","0.94",
"Portugal","514","Notavailable","23.1","16.1","0.95",
"Korea, Democratic Republic of","644","Notavailable","16.9","15.1","0.77",
"Serbia","620","Notavailable","36.8","31.8","1.39",
"Finland","470","Notavailable","41.9","30.8","1.70",
"Bangladesh","466","Notavailable","3.6","3.7","0.17",
"Belarus","495","Notavailable","25.4","21.9","1.04",
"Kazakhstan","499","Notavailable","21.3","21.0","0.96",
"Bulgaria","476","Notavailable","31.2","24.9","1.17",
"Denmark","439","Notavailable","40.1","31.7","1.60",
"Slovakia","422","Notavailable","41.2","33.7","1.76",
"Congo, Democratic Republic of","438","Notavailable","10.6","10.8","0.53",
"Cuba","387","Notavailable","18.7","17.0","0.86",
"Israel","357","Notavailable","33.5","26.6","1.51",
"Viet Nam","319","Notavailable","2.8","2.8","0.12",
"Malaysia","351","Notavailable","11.6","11.1","0.63",
"Croatia","322","Notavailable","36.5","27.5","1.45",
"Uruguay","287","Notavailable","52.6","41.0","2.18",
"Kenya","319","Notavailable","13.0","13.6","0.54",
"Norway","310","Notavailable","34.6","27.7","1.47",
"Algeria","302","Notavailable","8.1","8.0","0.35",
"Myanmar","296","Notavailable","5.2","5.4","0.31",
"Uzbekistan","285","Notavailable","9.8","10.5","0.48",
"New Zealand","270","Notavailable","33.6","27.6","1.54",
"Singapore","274","Notavailable","26.4","23.7","1.42",
"Morocco","275","Notavailable","7.1","6.9","0.33",
"Ecuador","244","Notavailable","14.7","13.1","0.82",
"Ethiopia","201","Notavailable","3.5","3.4","0.16",
"Lithuania","223","Notavailable","34.4","26.1","1.36",
"Ireland","228","Notavailable","30.7","24.8","1.41",
"Bosnia and Herzegovina","239","Notavailable","34.4","29.8","1.39",
"Nepal","220","Notavailable","8.9","8.6","0.42",
"Republic of Moldova","239","Notavailable","33.6","31.6","1.43",
"Pakistan","133","Notavailable","0.99","0.99","0.04",
"Iraq","180","Notavailable","8.5","8.8","0.42",
"Dominican Republic","179","Notavailable","17.1","16.5","0.80",
"Latvia","182","Notavailable","40.9","31.0","1.56",
"Armenia","174","Notavailable","34.7","30.2","1.73",
"Slovenia","156","Notavailable","37.2","28.8","1.52",
"Uganda","167","Notavailable","10.1","10.5","0.58",
"Puerto Rico","128","Notavailable","20.4","16.1","0.91",
"Syrian Arab Republic","140","Notavailable","10.5","10.6","0.48",
"Bolivia, Plurinational State of","116","Notavailable","12.5","10.9","0.61",
"Saudi Arabia","113","Notavailable","6.3","6.9","0.34",
"Paraguay","120","Notavailable","20.6","18.6","1.08",
"Guatemala","117","Notavailable","10.0","9.4","0.51",
"Yemen","124","Notavailable","8.8","9.1","0.47",
"Costa Rica","112","Notavailable","17.6","15.8","0.94",
"Honduras","118","Notavailable","17.7","17.6","0.83",
"Ghana","121","Notavailable","6.9","7.1","0.31",
"Sudan","89","Notavailable","3.7","3.6","0.18",
"Haiti","111","Notavailable","13.4","12.2","0.86",
"Tunisia","114","Notavailable","8.0","7.8","0.38",
"El Salvador","105","Notavailable","14.6","12.5","0.71",
"Azerbaijan","110","Notavailable","8.9","9.2","0.52",
"Estonia","99","Notavailable","35.2","25.9","1.35",
"Zimbabwe","104","Notavailable","13.4","13.4","0.66",
"Côte d'Ivoire","105","Notavailable","9.1","9.8","0.51",
"The former Yugoslav Republic of Macedonia","107","Notavailable","30.3","27.4","1.25",
"Rwanda","91","Notavailable","13.3","13.8","0.67",
"Tanzania, United Republic of","99","Notavailable","3.5","3.4","0.19",
"Nicaragua","85","Notavailable","15.7","15.5","0.78",
"Kyrgyzstan","88","Notavailable","15.4","16.2","0.78",
"Mali","80","Notavailable","9.7","10.0","0.45",
"Lebanon","82","Notavailable","13.3","12.5","0.54",
"Benin","91","Notavailable","14.5","15.8","0.43",
"Sri Lanka","68","Notavailable","2.3","2.2","0.09",
"Georgia","83","Notavailable","11.1","9.2","0.47",
"Libya","67","Notavailable","13.8","13.1","0.83",
"Jordan","63","Notavailable","10.2","10.5","0.44",
"United Arab Emirates","75","Notavailable","29.3","48.1","2.52",
"Afghanistan","60","Notavailable","3.8","3.9","0.19",
"Panama","55","Notavailable","12.5","11.6","0.64",
"Angola","63","Notavailable","4.5","4.8","0.21",
"Senegal","58","Notavailable","6.7","6.8","0.32",
"Jamaica","50","Notavailable","14.6","12.9","0.69",
"South Sudan","55","Notavailable","7.9","7.9","0.39",
"Albania","59","Notavailable","12.0","10.3","0.56",
"Burkina Faso","47","Notavailable","5.0","5.3","0.23",
"Somalia","43","Notavailable","6.3","6.5","0.27",
"Cambodia","47","Notavailable","3.3","3.5","0.18",
"Mongolia","43","Notavailable","15.6","18.5","0.80",
"Mozambique","30","Notavailable","1.9","2.0","0.05",
"Trinidad and Tobago","40","Notavailable","19.9","17.7","1.12",
"Luxembourg","35","Notavailable","36.7","29.5","1.74",
"Cameroon","32","Notavailable","2.7","2.6","0.15",
"Cyprus","38","Notavailable","20.9","18.8","0.84",
"Turkmenistan","37","Notavailable","7.1","7.9","0.40",
"Tajikistan","37","Notavailable","5.9","6.7","0.32",
"Papua New Guinea","33","Notavailable","5.9","6.1","0.32",
"Madagascar","35","Notavailable","2.5","2.6","0.11",
"France, La Réunion","35","Notavailable","25.5","24.1","1.14",
"Gaza Strip and West Bank","34","Notavailable","13.2","13.5","0.78",
"Malta","32","Notavailable","38.1","29.8","1.51",
"Chad","28","Notavailable","4.4","4.4","0.24",
"Burundi","33","Notavailable","6.1","6.8","0.38",
"Kuwait","29","Notavailable","11.5","18.2","0.85",
"France, Martinique","25","Notavailable","29.9","23.4","1.39",
"France, Guadeloupe","20","Notavailable","21.9","19.4","0.91",
"Mauritius","26","Notavailable","12.9","11.9","0.62",
"Niger","10","Notavailable","1.0","0.93","0.02",
"Congo, Republic of","22","Notavailable","7.5","7.7","0.38",
"Malawi","15","Notavailable","1.7","1.8","0.06",
"Montenegro","23","Notavailable","20.5","16.5","0.91",
"Sierra Leone","20","Notavailable","5.5","5.9","0.26",
"Lao People's Democratic Republic","19","Notavailable","3.9","4.0","0.19",
"Zambia","19","Notavailable","2.6","3.0","0.08",
"Oman","18","Notavailable","10.4","10.7","0.46",
"France, New Caledonia","13","Notavailable","35.5","30.3","1.91",
"Mauritania","14","Notavailable","5.4","5.6","0.24",
"Barbados","15","Notavailable","28.3","24.9","1.15",
"Iceland","15","Notavailable","28.1","26.2","1.07",
"Togo","13","Notavailable","3.2","3.4","0.16",
"Central African Republic","13","Notavailable","5.0","4.8","0.22",
"Suriname","12","Notavailable","18.8","19.5","0.96",
"Liberia","13","Notavailable","5.0","5.1","0.27",
"Cabo Verde","12","Notavailable","27.0","24.7","1.71",
"Eritrea","9","Notavailable","3.4","3.2","0.15",
"Brunei","10","Notavailable","24.3","27.8","1.42",
"Bahrain","11","Notavailable","13.0","15.2","0.55",
"Gabon","12","Notavailable","9.6","8.4","0.51",
"Bhutan","12","Notavailable","22.2","24.3","1.06",
"Guinea","3","Notavailable","0.42","0.43","0.01",
"French Guyana","8","Notavailable","31.8","33.1","1.48",
"Fiji","8","Notavailable","8.3","8.3","0.46",
"Botswana","6","Notavailable","3.5","3.3","0.30",
"Qatar","6","Notavailable","9.6","14.5","1.02",
"Samoa","6","Notavailable","36.3","33.8","1.87",
"Guyana","6","Notavailable","8.2","8.6","0.36",
"Namibia","5","Notavailable","3.0","3.2","0.15",
"Guinea-Bissau","6","Notavailable","5.9","6.1","0.18",
"Bahamas","5","Notavailable","9.0","7.9","0.50",
"Lesotho","5","Notavailable","3.2","2.7","0.21",
"Timor-Leste","6","Notavailable","8.2","8.1","0.53",
"Belize","5","Notavailable","18.9","20.3","1.49",
"Guam","4","Notavailable","18.8","16.5","0.96",
"French Polynesia","4","Notavailable","11.9","11.2","0.76",
"Saint Lucia","3","Notavailable","12.6","8.8","0.77",
"Eswatini","2","Notavailable","2.5","2.2","0.13",
"Equatorial Guinea","3","Notavailable","5.4","5.6","0.29",
"The Republic of the Gambia","2","Notavailable","2.2","2.2","0.05",
"Djibouti","2","Notavailable","3.0","2.6","0.06",
